"Date","Price","Open","High","Low","Change %"
"Sep 04, 2013","6.1201","6.1208","6.1217","6.1172","-0.01%"
"Sep 03, 2013","6.1206","6.1191","6.1217","6.1186","0.02%"
"Sep 02, 2013","6.1196","6.1195","6.1197","6.1148","0.00%"
"Aug 30, 2013","6.1195","6.1203","6.1209","6.1191","-0.01%"
"Aug 29, 2013","6.1204","6.1203","6.1220","6.1194","0.00%"
"Aug 28, 2013","6.1204","6.1209","6.1229","6.1190","-0.02%"
"Aug 27, 2013","6.1217","6.1211","6.1240","6.1200","0.01%"
"Aug 26, 2013","6.1212","6.1221","6.1227","6.1186","0.00%"
"Aug 23, 2013","6.1210","6.1221","6.1241","6.1208","-0.00%"
"Aug 22, 2013","6.1211","6.1239","6.1273","6.1200","-0.04%"
