"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","7,334.78","6,904.59","7,406.23","6,828.91","1.29B","6.23%"
"Mar 16, 2020","6,904.59","7,392.73","7,422.20","6,882.86","1.27B","-12.32%"
"Mar 13, 2020","7,874.88","7,610.39","7,875.93","7,219.09","1.25B","9.35%"
"Mar 12, 2020","7,201.80","7,398.58","7,712.33","7,194.67","1.34B","-9.43%"
"Mar 11, 2020","7,952.05","8,136.25","8,181.36","7,850.94","1.06B","-4.70%"
"Mar 10, 2020","8,344.25","8,219.76","8,347.40","7,930.43","1.12B","4.95%"
"Mar 09, 2020","7,950.68","7,957.93","8,243.31","7,943.16","1.20B","-7.29%"
"Mar 06, 2020","8,575.62","8,469.01","8,612.36","8,375.13","1.05B","-1.86%"
"Mar 05, 2020","8,738.59","8,790.09","8,921.08","8,677.39","901.11M","-3.10%"
"Mar 04, 2020","9,018.09","8,834.10","9,019.96","8,757.66","878.06M","3.85%"
"Mar 03, 2020","8,684.09","8,965.10","9,070.32","8,602.89","1.10B","-2.99%"
"Mar 02, 2020","8,952.17","8,667.14","8,952.81","8,543.35","1.10B","4.49%"
"Feb 28, 2020","8,567.37","8,269.74","8,591.82","8,264.16","1.44B","0.01%"
"Feb 27, 2020","8,566.48","8,744.03","8,904.11","8,562.05","1.15B","-4.61%"
"Feb 26, 2020","8,980.77","9,011.55","9,148.32","8,927.80","870.35M","0.17%"
"Feb 25, 2020","8,965.61","9,301.20","9,315.26","8,940.49","871.82M","-2.77%"
"Feb 24, 2020","9,221.28","9,188.44","9,322.88","9,166.01","795.20M","-3.71%"
"Feb 21, 2020","9,576.59","9,708.01","9,715.95","9,542.33","699.67M","-1.79%"
"Feb 20, 2020","9,750.97","9,799.20","9,820.86","9,636.94","646.92M","-0.67%"
"Feb 19, 2020","9,817.18","9,782.81","9,838.37","9,777.10","580.07M","0.87%"
"Feb 18, 2020","9,732.74","9,679.04","9,747.68","9,675.80","555.31M","0.02%"
"Feb 14, 2020","9,731.18","9,728.90","9,746.36","9,693.05","536.34M","0.20%"
"Feb 13, 2020","9,711.97","9,657.04","9,748.32","9,650.02","545.84M","-0.14%"
"Feb 12, 2020","9,725.96","9,688.60","9,728.77","9,666.68","589.71M","0.90%"
"Feb 11, 2020","9,638.94","9,680.89","9,714.74","9,617.21","567.80M","0.11%"
"Feb 10, 2020","9,628.39","9,493.63","9,628.66","9,493.63","546.60M","1.13%"
"Feb 07, 2020","9,520.51","9,526.64","9,570.09","9,496.53","549.79M","-0.54%"
"Feb 06, 2020","9,572.15","9,540.98","9,575.66","9,505.68","582.67M","0.67%"
"Feb 05, 2020","9,508.68","9,574.10","9,574.93","9,454.93","625.91M","0.43%"
"Feb 04, 2020","9,467.97","9,398.39","9,485.38","9,374.05","607.83M","2.10%"
"Feb 03, 2020","9,273.40","9,190.72","9,299.85","9,188.55","623.27M","1.34%"
"Jan 31, 2020","9,150.94","9,324.33","9,324.80","9,123.22","695.77M","-1.59%"
"Jan 30, 2020","9,298.93","9,211.15","9,303.00","9,185.18","573.68M","0.26%"
"Jan 29, 2020","9,275.16","9,318.26","9,329.11","9,249.04","548.87M","0.06%"
"Jan 28, 2020","9,269.68","9,201.82","9,288.87","9,182.33","530.77M","1.43%"
"Jan 27, 2020","9,139.31","9,092.46","9,185.45","9,088.04","686.78M","-1.89%"
"Jan 24, 2020","9,314.91","9,446.20","9,451.43","9,273.23","629.46M","-0.93%"
"Jan 23, 2020","9,402.48","9,377.72","9,409.20","9,334.13","611.04M","0.20%"
"Jan 22, 2020","9,383.77","9,413.61","9,439.29","9,375.13","580.34M","0.14%"
"Jan 21, 2020","9,370.81","9,361.07","9,397.58","9,350.20","691.60M","-0.19%"
"Jan 17, 2020","9,388.94","9,392.37","9,393.48","9,346.81","659.47M","0.34%"
"Jan 16, 2020","9,357.13","9,313.44","9,357.92","9,301.32","567.15M","1.06%"
"Jan 15, 2020","9,258.69","9,253.76","9,298.82","9,231.14","584.77M","0.08%"
"Jan 14, 2020","9,251.33","9,270.61","9,298.33","9,226.49","624.22M","-0.24%"
"Jan 13, 2020","9,273.93","9,213.72","9,274.49","9,193.06","605.16M","1.04%"
"Jan 10, 2020","9,178.86","9,232.94","9,235.20","9,164.66","585.08M","-0.27%"
"Jan 09, 2020","9,203.43","9,202.27","9,215.95","9,158.50","601.33M","0.81%"
"Jan 08, 2020","9,129.24","9,068.03","9,168.89","9,059.38","595.81M","0.67%"
"Jan 07, 2020","9,068.58","9,076.65","9,091.93","9,042.55","552.23M","-0.03%"
"Jan 06, 2020","9,071.47","8,943.50","9,072.41","8,943.50","690.23M","0.56%"
"Jan 03, 2020","9,020.77","8,976.43","9,065.76","8,976.43","618.55M","-0.79%"
"Jan 02, 2020","9,092.19","9,039.46","9,093.43","9,010.89","654.95M","1.33%"
"Dec 31, 2019","8,972.60","8,918.74","8,975.35","8,912.77","554.99M","0.30%"
"Dec 30, 2019","8,945.99","9,004.45","9,006.36","8,909.19","483.98M","-0.67%"
"Dec 27, 2019","9,006.62","9,049.47","9,052.00","8,987.32","443.17M","-0.17%"
"Dec 26, 2019","9,022.39","8,970.21","9,022.46","8,968.45","394.33M","0.78%"
"Dec 24, 2019","8,952.88","8,955.01","8,957.12","8,934.36","248.97M","0.08%"
"Dec 23, 2019","8,945.65","8,950.20","8,956.64","8,934.55","510.23M","0.23%"
"Dec 20, 2019","8,924.95","8,911.84","8,931.91","8,901.87","1.60B","0.42%"
"Dec 19, 2019","8,887.22","8,838.97","8,888.13","8,838.97","629.57M","0.67%"
"Dec 18, 2019","8,827.74","8,834.65","8,848.76","8,820.42","680.42M","0.05%"
"Dec 17, 2019","8,823.36","8,829.47","8,831.99","8,804.60","594.89M","0.10%"
"Dec 16, 2019","8,814.23","8,791.31","8,833.45","8,789.77","632.71M","0.91%"
"Dec 13, 2019","8,734.88","8,713.91","8,768.87","8,697.58","543.98M","0.20%"
"Dec 12, 2019","8,717.32","8,645.36","8,745.82","8,633.60","588.22M","0.73%"
"Dec 11, 2019","8,654.05","8,631.12","8,658.48","8,622.35","486.22M","0.44%"
"Dec 10, 2019","8,616.18","8,623.56","8,650.76","8,600.82","515.36M","-0.07%"
"Dec 09, 2019","8,621.83","8,650.86","8,678.85","8,619.77","547.63M","-0.40%"
"Dec 06, 2019","8,656.53","8,634.25","8,665.44","8,630.58","527.65M","1.00%"
"Dec 05, 2019","8,570.70","8,587.93","8,588.89","8,541.92","536.69M","0.05%"
"Dec 04, 2019","8,566.67","8,557.44","8,584.88","8,552.38","571.97M","0.54%"
"Dec 03, 2019","8,520.64","8,460.72","8,523.98","8,435.40","599.92M","-0.55%"
"Dec 02, 2019","8,567.99","8,672.84","8,672.84","8,540.16","559.26M","-1.12%"
"Nov 29, 2019","8,665.47","8,682.01","8,697.33","8,664.03","303.12M","-0.46%"
"Nov 27, 2019","8,705.17","8,669.59","8,705.91","8,662.58","436.37M","0.66%"
"Nov 26, 2019","8,647.93","8,635.40","8,659.73","8,625.62","739.47M","0.18%"
"Nov 25, 2019","8,632.49","8,559.65","8,633.15","8,559.65","575.98M","1.32%"
"Nov 22, 2019","8,519.89","8,530.54","8,535.46","8,477.49","459.67M","0.16%"
"Nov 21, 2019","8,506.21","8,527.87","8,530.73","8,487.29","520.65M","-0.24%"
"Nov 20, 2019","8,526.73","8,543.57","8,578.27","8,468.63","771.51M","-0.51%"
"Nov 19, 2019","8,570.66","8,578.02","8,589.76","8,536.73","533.69M","0.24%"
"Nov 18, 2019","8,549.94","8,529.16","8,559.78","8,503.62","523.43M","0.11%"
"Nov 15, 2019","8,540.83","8,524.48","8,540.83","8,506.80","588.62M","0.73%"
"Nov 14, 2019","8,479.02","8,461.06","8,485.36","8,441.58","499.40M","-0.04%"
"Nov 13, 2019","8,482.10","8,455.02","8,496.90","8,451.34","521.49M","-0.05%"
"Nov 12, 2019","8,486.09","8,471.07","8,514.84","8,462.99","491.23M","0.26%"
"Nov 11, 2019","8,464.28","8,431.26","8,467.29","8,425.49","435.56M","-0.13%"
"Nov 08, 2019","8,475.31","8,422.67","8,475.57","8,405.89","508.33M","0.48%"
"Nov 07, 2019","8,434.52","8,455.11","8,483.16","8,415.87","618.39M","0.28%"
"Nov 06, 2019","8,410.63","8,426.57","8,426.57","8,379.33","584.19M","-0.29%"
