"date","open","high","low","value","volume","date_fmt","interval"
"2020-10-08","0.95799196","0.976089075","0.93257899","0.96800313","114358016.14922999","2020-10-08","histoday"
"2020-10-09","0.96800313","0.9884105149999999","0.961457365","0.9749339399999999","121035421.9125145","2020-10-09","histoday"
"2020-10-10","0.9749339399999999","1.001502045","0.974548895","0.97878439","104379360.85070549","2020-10-10","histoday"
"2020-10-11","0.97878439","0.99495628","0.976089075","0.983789975","61690402.448825","2020-10-11","histoday"
"2020-10-12","0.983789975","0.99495628","0.959917185","0.9868703349999999","107215204.8772565","2020-10-12","histoday"
"2020-10-13","0.9868703349999999","1.001117","0.9733937600000001","0.9887955599999999","124088733.309859","2020-10-13","histoday"
"2020-10-14","0.9887955599999999","0.995341325","0.9483658349999999","0.959917185","142321052.472096","2020-10-14","histoday"
"2020-10-15","0.959917185","0.9637676350000001","0.936814485","0.947595745","127040762.50890799","2020-10-15","histoday"
"2020-10-16","0.947595745","0.9549116","0.9164070999999999","0.92487809","112620367.900223","2020-10-16","histoday"
"2020-10-17","0.92487809","0.93642944","0.919872505","0.926803315","54207804.250638","2020-10-17","histoday"
"2020-10-18","0.926803315","0.938354665","0.92487809","0.9329640349999999","45808794.5244335","2020-10-18","histoday"
"2020-10-19","0.9329640349999999","0.96107232","0.925263135","0.946055565","111589356.1219365","2020-10-19","histoday"
"2020-10-20","0.946055565","0.9637676350000001","0.930653765","0.9375845749999999","114513088.90299849","2020-10-20","histoday"
"2020-10-21","0.9375845749999999","0.9849451100000001","0.935274305","0.96800313","180446919.2029315","2020-10-21","histoday"
"2020-10-22","0.96800313","1.016133755","0.96800313","0.991490875","196912478.1728645","2020-10-22","histoday"
"2020-10-23","0.991490875","0.999191775","0.96415268","0.98186475","110149726.734732","2020-10-23","histoday"
"2020-10-24","0.98186475","0.993031055","0.9733937600000001","0.98725538","66953990.58601149","2020-10-24","histoday"
"2020-10-25","0.98725538","0.9911058300000001","0.96877322","0.975318985","58299791.438958","2020-10-25","histoday"
"2020-10-26","0.975318985","0.9980366399999999","0.9387397099999999","0.95645178","125644383.9944095","2020-10-26","histoday"
"2020-10-27","0.95645178","0.9783993449999999","0.9541415099999999","0.9733937600000001","85617482.71569899","2020-10-27","histoday"
"2020-10-28","0.9733937600000001","0.9884105149999999","0.94182007","0.9464406099999999","68544253.427666","2020-10-28","histoday"
"2020-10-29","0.9464406099999999","0.95183124","0.923722955","0.93334908","86483131.797637","2020-10-29","histoday"
"2020-10-30","0.93334908","0.94027989","0.892919355","0.9214126850000001","160393420.398919","2020-10-30","histoday"
"2020-10-31","0.9214126850000001","0.9387397099999999","0.91563701","0.923722955","87077042.2631305","2020-10-31","histoday"
"2020-11-01","0.923722955","0.92949863","0.91178656","0.9241079999999999","51174782.684055","2020-11-01","histoday"
"2020-11-02","0.9241079999999999","0.94259016","0.8979249399999999","0.90716602","88450154.81854899","2020-11-02","histoday"
"2020-11-03","0.90716602","0.93719953","0.88175305","0.9221827749999999","77442559.0913155","2020-11-03","histoday"
"2020-11-04","0.9221827749999999","0.92641827","0.89561467","0.916022055","64052411.6770605","2020-11-04","histoday"
"2020-11-05","0.916022055","0.9529863749999999","0.89638476","0.9464406099999999","85917111.0656015","2020-11-05","histoday"
"2020-11-06","0.9464406099999999","1.00727772","0.9452854749999999","0.9968815050000001","108830210.5180885","2020-11-06","histoday"
"2020-11-07","0.9968815050000001","1.029995375","0.942975205","0.96030223","89721339.6477295","2020-11-07","histoday"
"2020-11-08","0.96030223","0.989950695","0.9541415099999999","0.9772442100000001","46647067.40743","2020-11-08","histoday"
"2020-11-09","0.9772442100000001","0.98648529","0.946825655","0.9649227699999999","75101054.510447","2020-11-09","histoday"
"2020-11-10","0.9649227699999999","1.017673935","0.956836825","0.97878439","109171804.306469","2020-11-10","histoday"
"2020-11-11","0.97878439","1.001502045","0.9730087149999999","0.98648529","137486809.03169098","2020-11-11","histoday"
"2020-11-12","0.98648529","0.9945712349999999","0.9726236699999999","0.98186475","127691746.693076","2020-11-12","histoday"
"2020-11-13","0.98186475","1.0242197","0.9783993449999999","1.0242197","171236990.92211598","2020-11-13","histoday"
"2020-11-14","1.0242197","1.0688849200000001","1.0076627649999998","1.033845825","270337278.5504015","2020-11-14","histoday"
"2020-11-15","1.033845825","1.066959695","1.017673935","1.038466365","167910914.994429","2020-11-15","histoday"
"2020-11-16","1.038466365","1.116245455","1.030765465","1.109314645","248226576.64518","2020-11-16","histoday"
"2020-11-17","1.109314645","1.175542385","1.107774465","1.1655312150000001","410181678.4574575","2020-11-17","histoday"
"2020-11-18","1.1655312150000001","1.1870937350000001","1.088522215","1.13049212","369647516.54697245","2020-11-18","histoday"
"2020-11-19","1.13049212","1.181703105","1.09429789","1.17130689","322655833.74902904","2020-11-19","histoday"
"2020-11-20","1.17130689","1.27526904","1.144738785","1.271803635","474020668.77808","2020-11-20","histoday"
"2020-11-21","1.271803635","1.80740123","1.26987841","1.783143395","1909664297.5501568","2020-11-21","histoday"
"2020-11-22","1.783143395","1.910208245","1.56482288","1.717685745","2310976238.2571816","2020-11-22","histoday"
"2020-11-23","1.717685745","2.4404152100000003","1.6633944","2.3776528750000003","2942493120.3261595","2020-11-23","histoday"
"2020-11-24","2.3776528750000003","3.2470844850000002","2.1943714549999997","2.6722122999999995","5537515851.047626","2020-11-24","histoday"
"2020-11-25","2.6722122999999995","2.781180035","2.234416135","2.42886386","3358579541.0986443","2020-11-25","histoday"
"2020-11-26","2.42886386","2.509338265","1.7665864599999999","2.06923183","3515375821.359749","2020-11-26","histoday"
"2020-11-27","2.06923183","2.263679555","1.9413968899999998","2.16626317","1777886642.4126806","2020-11-27","histoday"
"2020-11-28","2.16626317","2.50048223","2.078857955","2.413847105","1767469743.526866","2020-11-28","histoday"
"2020-11-29","2.413847105","2.453121695","2.2463525300000002","2.332217565","1165697219.989913","2020-11-29","histoday"
"2020-11-30","2.332217565","2.6171508649999997","2.309114865","2.560164205","1745412805.031445","2020-11-30","histoday"
"2020-12-01","2.560164205","2.6206162699999997","2.2498179350000003","2.354550175","1643966813.9450705","2020-12-01","histoday"
"2020-12-02","2.354550175","2.45273665","2.29101775","2.42963395","968311077.516659","2020-12-02","histoday"
"2020-12-03","2.42963395","2.4742991699999997","2.369951975","2.4300189949999997","601421663.4096205","2020-12-03","histoday"
"2020-12-04","2.4300189949999997","2.44349557","2.0919494849999998","2.1331493000000004","1257113384.144362","2020-12-04","histoday"
"2020-12-05","2.1331493000000004","2.29640838","2.112741915","2.25482352","590876776.9904726","2020-12-05","histoday"
"2020-12-06","2.25482352","2.421548005","2.232875955","2.39420981","1051035651.53569","2020-12-06","histoday"
"2020-12-07","2.39420981","2.4026808","2.275230905","2.342228735","698275901.076267","2020-12-07","histoday"
"2020-12-08","2.342228735","2.35108477","2.11851759","2.1520165049999997","925183913.4929254","2020-12-08","histoday"
"2020-12-09","2.1520165049999997","2.329137205","1.940241755","2.24558244","1435242090.215484","2020-12-09","histoday"
"2020-12-10","2.24558244","2.26560478","2.12775867","2.2024573999999997","856612844.722865","2020-12-10","histoday"
"2020-12-11","2.2024573999999997","2.28177667","2.027261925","2.158947315","1543016716.076467","2020-12-11","histoday"
"2020-12-12","2.158947315","2.16241272","1.87054861","1.951023015","1340659594.599597","2020-12-12","histoday"
"2020-12-13","1.951023015","2.0326525550000003","1.873243925","1.97605094","644930547.3002476","2020-12-13","histoday"
